"id","subject","predicate","object","language","datatype"
"0","http://web.resource.org/cc/permits","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"1","http://web.resource.org/cc/Prohibition","http://purl.org/dc/elements/1.1/title","prohibition","",""
"2","http://web.resource.org/cc/Notice","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://web.resource.org/cc/Requirement","",""
"3","http://web.resource.org/cc/requires","http://www.w3.org/2000/01/rdf-schema#domain","http://web.resource.org/cc/License","",""
"4","http://web.resource.org/cc/Reproduction","http://purl.org/dc/elements/1.1/title","reproduction","",""
"5","http://web.resource.org/cc/PublicDomain","http://purl.org/dc/elements/1.1/description","no copyright; everything is permitted without restriction","",""
"6","http://web.resource.org/cc/permits","http://www.w3.org/2000/01/rdf-schema#domain","http://web.resource.org/cc/License","",""
"7","http://web.resource.org/cc/permits","http://purl.org/dc/elements/1.1/title","permits","",""
"8","http://web.resource.org/cc/Work","http://purl.org/dc/elements/1.1/title","work","",""
"9","http://web.resource.org/cc/License","http://purl.org/dc/elements/1.1/description","a set of requests/permissions to users of a Work, e.g. a copyright license, the public domain, information for distributors","",""
"10","http://web.resource.org/cc/License","http://purl.org/dc/elements/1.1/title","license","",""
"11","http://web.resource.org/cc/License","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"12","http://web.resource.org/cc/Attribution","http://purl.org/dc/elements/1.1/description","credit be given to copyright holder and/or author","",""
"13","http://web.resource.org/cc/Attribution","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://web.resource.org/cc/Requirement","",""
"14","http://web.resource.org/cc/license","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://purl.org/dc/terms/license","",""
"15","http://web.resource.org/cc/license","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"16","http://web.resource.org/cc/ShareAlike","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://web.resource.org/cc/Requirement","",""
"17","http://web.resource.org/cc/Permission","http://purl.org/dc/elements/1.1/title","permission","",""
"18","http://web.resource.org/cc/Work","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://www.w3.org/2000/10/swap/pim/doc#Work","",""
"19","http://web.resource.org/cc/Work","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"20","http://web.resource.org/cc/Distribution","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://web.resource.org/cc/Permission","",""
"21","http://web.resource.org/cc/prohibits","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"22","http://web.resource.org/cc/Requirement","http://purl.org/dc/elements/1.1/description","an action that may or may not be requested of you","",""
"23","http://web.resource.org/cc/Permission","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"24","http://web.resource.org/cc/Distribution","http://purl.org/dc/elements/1.1/description","distribution, public display, and publicly performance","",""
"25","http://web.resource.org/cc/derivativeWork","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"26","http://web.resource.org/cc/PublicDomain","http://purl.org/dc/elements/1.1/title","public domain","",""
"27","http://web.resource.org/cc/PublicDomain","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://web.resource.org/cc/License","",""
"28","http://web.resource.org/cc/requires","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"29","http://web.resource.org/cc/requires","http://www.w3.org/2000/01/rdf-schema#range","http://web.resource.org/cc/Requirement","",""
"30","http://web.resource.org/cc/Notice","http://purl.org/dc/elements/1.1/title","copyright notices","",""
"31","http://web.resource.org/cc/Agent","http://purl.org/dc/elements/1.1/title","agent","",""
"32","http://web.resource.org/cc/Permission","http://purl.org/dc/elements/1.1/description","an action that may or may not be allowed or desired","",""
"33","http://web.resource.org/cc/Agent","http://purl.org/dc/elements/1.1/description","something (e.g. a person, corporation or computer) capable of creating things","",""
"34","http://web.resource.org/cc/prohibits","http://www.w3.org/2000/01/rdf-schema#range","http://web.resource.org/cc/Prohibition","",""
"35","http://web.resource.org/cc/derivativeWork","http://www.w3.org/2000/01/rdf-schema#domain","http://web.resource.org/cc/Work","",""
"36","http://web.resource.org/cc/Prohibition","http://purl.org/dc/elements/1.1/description","something you may be asked not to do","",""
"37","http://web.resource.org/cc/SourceCode","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://web.resource.org/cc/Requirement","",""
"38","http://web.resource.org/cc/Reproduction","http://purl.org/dc/elements/1.1/description","making multiple copies","",""
"39","http://web.resource.org/cc/Attribution","http://purl.org/dc/elements/1.1/title","attribution","",""
"40","http://web.resource.org/cc/CommercialUse","http://purl.org/dc/elements/1.1/description","exercising rights for commercial purposes","",""
"41","http://web.resource.org/cc/Work","http://purl.org/dc/elements/1.1/description","a potentially copyrightable work","",""
"42","http://web.resource.org/cc/Requirement","http://purl.org/dc/elements/1.1/title","requirement","",""
"43","http://web.resource.org/cc/requires","http://purl.org/dc/elements/1.1/title","requires","",""
"44","http://web.resource.org/cc/license","http://www.w3.org/2000/01/rdf-schema#range","http://web.resource.org/cc/License","",""
"45","http://web.resource.org/cc/license","http://purl.org/dc/elements/1.1/title","has license","",""
"46","http://web.resource.org/cc/Requirement","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"47","http://web.resource.org/cc/SourceCode","http://purl.org/dc/elements/1.1/description","source code (the preferred form for making modifications) must be provided for all derivative works","",""
"48","http://web.resource.org/cc/Agent","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
