"id","subject","predicate","object","language","datatype"
"0","http://purl.org/dc/terms/created","http://www.w3.org/2000/01/rdf-schema#label","Date Created","en",""
"1","http://purl.org/dc/terms/references","http://www.w3.org/2000/01/rdf-schema#comment","A related resource that is referenced, cited, or otherwise pointed to by the described resource.","en",""
"2","http://purl.org/dc/terms/dateCopyrighted","http://www.w3.org/2000/01/rdf-schema#comment","Date of copyright of the resource.","en",""
"3","http://purl.org/dc/terms/FileFormat","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://purl.org/dc/terms/MediaType","",""
"4","http://purl.org/dc/terms/Jurisdiction","http://www.w3.org/2000/01/rdf-schema#label","Jurisdiction","en",""
"5","http://purl.org/dc/terms/hasPart","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/terms/","",""
"6","http://purl.org/dc/terms/hasFormat","http://www.w3.org/2000/01/rdf-schema#label","Has Format","en",""
"7","http://purl.org/dc/terms/rights","http://www.w3.org/2000/01/rdf-schema#label","Rights","en",""
"8","http://purl.org/dc/terms/DDC","http://purl.org/dc/terms/issued","2000-07-11","","http://www.w3.org/2001/XMLSchema#date"
"9","http://purl.org/dc/terms/Location","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/terms/","",""
"10","http://purl.org/dc/terms/audience","http://www.w3.org/2000/01/rdf-schema#comment","A class of agents for whom the resource is intended or useful.","en",""
"11","http://purl.org/dc/terms/requires","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/terms/","",""
"12","http://purl.org/dc/terms/dateAccepted","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Literal","",""
"13","http://purl.org/dc/terms/Period","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Datatype","",""
"14","http://purl.org/dc/terms/SizeOrDuration","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/terms/","",""
"15","http://purl.org/dc/terms/isFormatOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"16","http://purl.org/dc/terms/MediaTypeOrExtent","http://www.w3.org/2000/01/rdf-schema#label","Media Type or Extent","en",""
