"id","subject","predicate","object","language","datatype"
"0","http://purl.org/dc/dcmitype/Event","http://www.w3.org/2000/01/rdf-schema#label","Event","en",""
"1","http://purl.org/dc/dcmitype/Service","http://purl.org/dc/terms/description","Examples include a photocopying service, a banking service, an authentication service, interlibrary loans, a Z39.50 or Web server.","en",""
"2","http://purl.org/dc/dcmitype/MovingImage","http://www.w3.org/2000/01/rdf-schema#comment","A series of visual representations imparting an impression of motion when shown in succession.","en",""
"3","http://purl.org/dc/dcmitype/Text","http://purl.org/dc/terms/description","Examples include books, letters, dissertations, poems, newspapers, articles, archives of mailing lists. Note that facsimiles or images of texts are still of the genre Text.","en",""
"4","http://purl.org/dc/dcmitype/StillImage","http://www.w3.org/2000/01/rdf-schema#label","Still Image","en",""
"5","http://purl.org/dc/dcmitype/Image","http://www.w3.org/2000/01/rdf-schema#comment","A visual representation other than text.","en",""
"6","http://purl.org/dc/dcmitype/Text","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/dcmitype/","",""
"7","http://purl.org/dc/dcmitype/Event","http://purl.org/dc/dcam/memberOf","http://purl.org/dc/terms/DCMIType","",""
"8","http://purl.org/dc/dcmitype/MovingImage","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/dcmitype/","",""
"9","http://purl.org/dc/dcmitype/Event","http://purl.org/dc/terms/description","Metadata for an event provides descriptive information that is the basis for discovery of the purpose, location, duration, and responsible agents associated with an event. Examples include an exhibition, webcast, conference, workshop, open day, performance, battle, trial, wedding, tea party, conflagration.","en",""
"10","http://purl.org/dc/dcmitype/Event","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/dcmitype/","",""
"11","http://purl.org/dc/dcmitype/Software","http://purl.org/dc/dcam/memberOf","http://purl.org/dc/terms/DCMIType","",""
"12","http://purl.org/dc/dcmitype/StillImage","http://www.w3.org/2000/01/rdf-schema#comment","A static visual representation.","en",""
"13","http://purl.org/dc/dcmitype/Image","http://www.w3.org/2000/01/rdf-schema#label","Image","en",""
"14","http://purl.org/dc/dcmitype/Software","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/dcmitype/","",""
"15","http://purl.org/dc/dcmitype/Dataset","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"16","http://purl.org/dc/dcmitype/Text","http://www.w3.org/2000/01/rdf-schema#label","Text","en",""
"17","http://purl.org/dc/dcmitype/Image","http://purl.org/dc/dcam/memberOf","http://purl.org/dc/terms/DCMIType","",""
"18","http://purl.org/dc/dcmitype/Image","http://purl.org/dc/terms/description","Examples include images and photographs of physical objects, paintings, prints, drawings, other images and graphics, animations and moving pictures, film, diagrams, maps, musical notation.  Note that Image may include both electronic and physical representations.","en",""
"19","http://purl.org/dc/dcmitype/Event","http://purl.org/dc/terms/issued","2000-07-11","","http://www.w3.org/2001/XMLSchema#date"
"20","http://purl.org/dc/dcmitype/Image","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/dcmitype/","",""
"21","http://purl.org/dc/dcmitype/InteractiveResource","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"22","http://purl.org/dc/dcmitype/StillImage","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://purl.org/dc/dcmitype/Image","",""
"23","http://purl.org/dc/dcmitype/InteractiveResource","http://www.w3.org/2000/01/rdf-schema#comment","A resource requiring interaction from the user to be understood, executed, or experienced.","en",""
"24","http://purl.org/dc/dcmitype/Software","http://purl.org/dc/terms/issued","2000-07-11","","http://www.w3.org/2001/XMLSchema#date"
"25","http://purl.org/dc/dcmitype/Dataset","http://purl.org/dc/terms/description","Examples include lists, tables, and databases.  A dataset may be useful for direct machine processing.","en",""
"26","http://purl.org/dc/dcmitype/PhysicalObject","http://purl.org/dc/terms/description","Note that digital representations of, or surrogates for, these objects should use Image, Text or one of the other types.","en",""
"27","http://purl.org/dc/dcmitype/StillImage","http://purl.org/dc/dcam/memberOf","http://purl.org/dc/terms/DCMIType","",""
"28","http://purl.org/dc/dcmitype/PhysicalObject","http://purl.org/dc/dcam/memberOf","http://purl.org/dc/terms/DCMIType","",""
"29","http://purl.org/dc/dcmitype/Collection","http://www.w3.org/2000/01/rdf-schema#comment","An aggregation of resources.","en",""
"30","http://purl.org/dc/dcmitype/StillImage","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/dcmitype/","",""
"31","http://purl.org/dc/dcmitype/Sound","http://purl.org/dc/dcam/memberOf","http://purl.org/dc/terms/DCMIType","",""
"32","http://purl.org/dc/dcmitype/PhysicalObject","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/dcmitype/","",""
"33","http://purl.org/dc/dcmitype/Text","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"34","http://purl.org/dc/dcmitype/Sound","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/dcmitype/","",""
"35","http://purl.org/dc/dcmitype/Collection","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"36","http://purl.org/dc/dcmitype/MovingImage","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"37","http://purl.org/dc/dcmitype/Image","http://purl.org/dc/terms/issued","2000-07-11","","http://www.w3.org/2001/XMLSchema#date"
"38","http://purl.org/dc/dcmitype/Collection","http://purl.org/dc/terms/issued","2000-07-11","","http://www.w3.org/2001/XMLSchema#date"
"39","http://purl.org/dc/dcmitype/Collection","http://www.w3.org/2000/01/rdf-schema#label","Collection","en",""
"40","http://purl.org/dc/dcmitype/Collection","http://purl.org/dc/terms/description","A collection is described as a group; its parts may also be separately described.","en",""
"41","http://purl.org/dc/dcmitype/Event","http://www.w3.org/2000/01/rdf-schema#comment","A non-persistent, time-based occurrence.","en",""
"42","http://purl.org/dc/dcmitype/InteractiveResource","http://purl.org/dc/terms/description","Examples include forms on Web pages, applets, multimedia learning objects, chat services, or virtual reality environments.","en",""
"43","http://purl.org/dc/dcmitype/Service","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"44","http://purl.org/dc/dcmitype/InteractiveResource","http://www.w3.org/2000/01/rdf-schema#label","Interactive Resource","en",""
"45","http://purl.org/dc/dcmitype/Software","http://purl.org/dc/terms/description","Examples include a C source file, MS-Windows .exe executable, or Perl script.","en",""
"46","http://purl.org/dc/dcmitype/Service","http://purl.org/dc/terms/issued","2000-07-11","","http://www.w3.org/2001/XMLSchema#date"
"47","http://purl.org/dc/dcmitype/Sound","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"48","http://purl.org/dc/dcmitype/","http://purl.org/dc/terms/title","DCMI Type Vocabulary","en",""
"49","http://purl.org/dc/dcmitype/StillImage","http://purl.org/dc/terms/issued","2003-11-18","","http://www.w3.org/2001/XMLSchema#date"
"50","http://purl.org/dc/dcmitype/MovingImage","http://www.w3.org/2000/01/rdf-schema#label","Moving Image","en",""
"51","http://purl.org/dc/dcmitype/Sound","http://purl.org/dc/terms/issued","2000-07-11","","http://www.w3.org/2001/XMLSchema#date"
