"id","subject","predicate","object","language","datatype"
"0","http://xmlns.com/foaf/0.1/thumbnail","http://www.w3.org/2000/01/rdf-schema#label","thumbnail","",""
"1","http://xmlns.com/foaf/0.1/family_name","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Literal","",""
"2","http://xmlns.com/foaf/0.1/gender","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"3","http://xmlns.com/foaf/0.1/made","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2002/07/owl#Thing","",""
"4","http://xmlns.com/foaf/0.1/name","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty","",""
"5","http://xmlns.com/foaf/0.1/weblog","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"6","http://xmlns.com/foaf/0.1/thumbnail","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty","",""
"7","http://xmlns.com/foaf/0.1/publications","http://www.w3.org/2000/01/rdf-schema#domain","http://xmlns.com/foaf/0.1/Person","",""
"8","http://xmlns.com/foaf/0.1/icqChatID","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status","testing","",""
"9","http://xmlns.com/foaf/0.1/knows","http://www.w3.org/2000/01/rdf-schema#label","knows","",""
"10","http://xmlns.com/foaf/0.1/currentProject","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"11","http://xmlns.com/foaf/0.1/holdsAccount","http://www.w3.org/2000/01/rdf-schema#comment","Indicates an account held by this agent.","",""
"12","http://xmlns.com/foaf/0.1/sha1","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://xmlns.com/foaf/0.1/","",""
"13","http://xmlns.com/foaf/0.1/OnlineChatAccount","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status","unstable","",""
"14","http://xmlns.com/foaf/0.1/primaryTopic","http://www.w3.org/2000/01/rdf-schema#domain","http://xmlns.com/foaf/0.1/Document","",""
"15","http://xmlns.com/foaf/0.1/OnlineEcommerceAccount","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://xmlns.com/foaf/0.1/","",""
