"id","subject","predicate","object","language","datatype"
"0","http://www.w3.org/2002/07/owl#annotatedProperty","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Resource","",""
"1","http://www.w3.org/2002/07/owl#backwardCompatibleWith","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2002/07/owl#Ontology","",""
"2","http://www.w3.org/2002/07/owl#propertyDisjointWith","http://www.w3.org/2000/01/rdf-schema#comment","The property that determines that two given properties are disjoint.","",""
"3","http://www.w3.org/2002/07/owl#assertionProperty","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"4","http://www.w3.org/2002/07/owl#ReflexiveProperty","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2002/07/owl#","",""
"5","http://www.w3.org/2002/07/owl#versionInfo","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#AnnotationProperty","",""
"6","http://www.w3.org/2002/07/owl#AsymmetricProperty","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://www.w3.org/2002/07/owl#ObjectProperty","",""
"7","http://www.w3.org/2002/07/owl#complementOf","http://www.w3.org/2000/01/rdf-schema#comment","The property that determines that a given class is the complement of another class.","",""
"8","http://www.w3.org/2002/07/owl#minQualifiedCardinality","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2002/07/owl#","",""
"9","http://www.w3.org/2002/07/owl#annotatedProperty","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2002/07/owl#","",""
"10","http://www.w3.org/2002/07/owl#Ontology","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"11","http://www.w3.org/2002/07/owl#onDatatype","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2000/01/rdf-schema#Datatype","",""
"12","http://www.w3.org/2002/07/owl#propertyDisjointWith","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"13","http://www.w3.org/2002/07/owl#versionInfo","http://www.w3.org/2000/01/rdf-schema#label","versionInfo","",""
"14","http://www.w3.org/2002/07/owl#Annotation","http://www.w3.org/2000/01/rdf-schema#comment","The class of annotated annotations for which the RDF serialization consists of an annotated subject, predicate and object.","",""
"15","http://www.w3.org/2002/07/owl#bottomObjectProperty","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2002/07/owl#","",""
"16","http://www.w3.org/2002/07/owl#someValuesFrom","http://www.w3.org/2000/01/rdf-schema#comment","The property that determines the class that an existential property restriction refers to.","",""
"17","http://www.w3.org/2002/07/owl#members","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2000/01/rdf-schema#Resource","",""
"18","http://www.w3.org/2002/07/owl#inverseOf","http://www.w3.org/2000/01/rdf-schema#label","inverseOf","",""
"19","http://www.w3.org/2002/07/owl#annotatedProperty","http://www.w3.org/2000/01/rdf-schema#comment","The property that determines the predicate of an annotated axiom or annotated annotation.","",""
"20","http://www.w3.org/2002/07/owl#minQualifiedCardinality","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2002/07/owl#Restriction","",""
"21","http://www.w3.org/2002/07/owl#versionIRI","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2002/07/owl#Ontology","",""
"22","http://www.w3.org/2002/07/owl#datatypeComplementOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"23","http://www.w3.org/2002/07/owl#OntologyProperty","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2002/07/owl#","",""
"24","http://www.w3.org/2002/07/owl#bottomDataProperty","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2002/07/owl#Thing","",""
"25","http://www.w3.org/2002/07/owl#targetIndividual","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2002/07/owl#NegativePropertyAssertion","",""
"26","http://www.w3.org/2002/07/owl#onDataRange","http://www.w3.org/2000/01/rdf-schema#label","onDataRange","",""
"27","http://www.w3.org/2002/07/owl#propertyChainAxiom","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"28","http://www.w3.org/2002/07/owl#inverseOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"29","http://www.w3.org/2002/07/owl#AllDisjointClasses","http://www.w3.org/2000/01/rdf-schema#label","AllDisjointClasses","",""
"30","http://www.w3.org/2002/07/owl#onClass","http://www.w3.org/2000/01/rdf-schema#comment","The property that determines the class that a qualified object cardinality restriction refers to.","",""
"31","http://www.w3.org/2002/07/owl#IrreflexiveProperty","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"32","http://www.w3.org/2002/07/owl#sameAs","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"33","http://www.w3.org/2002/07/owl#onProperty","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"34","http://www.w3.org/2002/07/owl#deprecated","http://www.w3.org/2000/01/rdf-schema#comment","The annotation property that indicates that a given entity has been deprecated.","",""
"35","http://www.w3.org/2002/07/owl#distinctMembers","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2002/07/owl#AllDifferent","",""
"36","http://www.w3.org/2002/07/owl#incompatibleWith","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#AnnotationProperty","",""
"37","http://www.w3.org/2002/07/owl#AnnotationProperty","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"38","http://www.w3.org/2002/07/owl#IrreflexiveProperty","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2002/07/owl#","",""
"39","http://www.w3.org/2002/07/owl#DataRange","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"40","http://www.w3.org/2002/07/owl#FunctionalProperty","http://www.w3.org/2000/01/rdf-schema#label","FunctionalProperty","",""
"41","http://www.w3.org/2002/07/owl#equivalentClass","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"42","http://www.w3.org/2002/07/owl#intersectionOf","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#List","",""
"43","http://www.w3.org/2002/07/owl#allValuesFrom","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2002/07/owl#","",""
"44","http://www.w3.org/2002/07/owl#onProperties","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2002/07/owl#","",""
"45","http://www.w3.org/2002/07/owl#unionOf","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#List","",""
"46","http://www.w3.org/2002/07/owl#allValuesFrom","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2002/07/owl#Restriction","",""
"47","http://www.w3.org/2002/07/owl#onProperties","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2002/07/owl#Restriction","",""
"48","http://www.w3.org/2002/07/owl#members","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#List","",""
"49","http://www.w3.org/2002/07/owl#topDataProperty","http://www.w3.org/2000/01/rdf-schema#label","topDataProperty","",""
