"id","subject","predicate","object","language","datatype"
"0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#label","type","",""
"1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2000/01/rdf-schema#Resource","",""
"2","http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"3","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://www.w3.org/2000/01/rdf-schema#Resource","",""
"4","http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"5","http://www.w3.org/1999/02/22-rdf-syntax-ns#Seq","http://www.w3.org/2000/01/rdf-schema#label","Seq","",""
"6","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://www.w3.org/2000/01/rdf-schema#Literal","",""
"7","http://www.w3.org/1999/02/22-rdf-syntax-ns#first","http://www.w3.org/2000/01/rdf-schema#label","first","",""
"8","http://www.w3.org/1999/02/22-rdf-syntax-ns#HTML","http://www.w3.org/2000/01/rdf-schema#comment","The datatype of RDF literals storing fragments of HTML content","",""
"9","http://www.w3.org/1999/02/22-rdf-syntax-ns#XMLLiteral","http://www.w3.org/2000/01/rdf-schema#label","XMLLiteral","",""
"10","http://www.w3.org/1999/02/22-rdf-syntax-ns#nil","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#List","",""
"11","http://www.w3.org/1999/02/22-rdf-syntax-ns#rest","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"12","http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral","http://www.w3.org/2000/01/rdf-schema#label","PlainLiteral","",""
"13","http://www.w3.org/1999/02/22-rdf-syntax-ns#Seq","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"14","http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate","http://www.w3.org/2000/01/rdf-schema#comment","The predicate of the subject RDF statement.","",""
"15","http://www.w3.org/1999/02/22-rdf-syntax-ns#Bag","http://www.w3.org/2000/01/rdf-schema#comment","The class of unordered containers.","",""
"16","http://www.w3.org/1999/02/22-rdf-syntax-ns#value","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Resource","",""
"17","http://www.w3.org/1999/02/22-rdf-syntax-ns#nil","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/1999/02/22-rdf-syntax-ns#","",""
"18","http://www.w3.org/1999/02/22-rdf-syntax-ns#object","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/1999/02/22-rdf-syntax-ns#","",""
"19","http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate","http://www.w3.org/2000/01/rdf-schema#label","predicate","",""
"20","http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/1999/02/22-rdf-syntax-ns#","",""
"21","http://www.w3.org/1999/02/22-rdf-syntax-ns#","http://purl.org/dc/elements/1.1/date","2019-12-16","",""
"22","http://www.w3.org/1999/02/22-rdf-syntax-ns#first","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/1999/02/22-rdf-syntax-ns#","",""
"23","http://www.w3.org/1999/02/22-rdf-syntax-ns#XMLLiteral","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://www.w3.org/2000/01/rdf-schema#Literal","",""
"24","http://www.w3.org/1999/02/22-rdf-syntax-ns#subject","http://www.w3.org/2000/01/rdf-schema#label","subject","",""
"25","http://www.w3.org/1999/02/22-rdf-syntax-ns#List","http://www.w3.org/2000/01/rdf-schema#label","List","",""
"26","http://www.w3.org/1999/02/22-rdf-syntax-ns#subject","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Resource","",""
