"id","subject","predicate","object","language","datatype"
"0","http://www.w3.org/2000/01/rdf-schema#Container","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://www.w3.org/2000/01/rdf-schema#Resource","",""
"1","http://www.w3.org/2000/01/rdf-schema#label","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2000/01/rdf-schema#","",""
"2","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2000/01/rdf-schema#label","domain","",""
"3","http://www.w3.org/2000/01/rdf-schema#label","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"4","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2000/01/rdf-schema#","",""
"5","http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2000/01/rdf-schema#","",""
"6","http://www.w3.org/2000/01/rdf-schema#label","http://www.w3.org/2000/01/rdf-schema#comment","A human-readable name for the subject.","",""
"7","http://www.w3.org/2000/01/rdf-schema#member","http://www.w3.org/2000/01/rdf-schema#label","member","",""
"8","http://www.w3.org/2000/01/rdf-schema#label","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Literal","",""
"9","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2000/01/rdf-schema#comment","The defininition of the subject resource.","",""
"10","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"11","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2000/01/rdf-schema#Resource","",""
