"id","subject","predicate","object","language","datatype"
"0","http://www.w3.org/2004/02/skos/core#narrower","http://www.w3.org/2000/01/rdf-schema#label","has narrower","en",""
"1","http://www.w3.org/2004/02/skos/core#exactMatch","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://www.w3.org/2004/02/skos/core#closeMatch","",""
"2","http://www.w3.org/2004/02/skos/core#broaderTransitive","http://www.w3.org/2002/07/owl#inverseOf","http://www.w3.org/2004/02/skos/core#narrowerTransitive","",""
"3","http://www.w3.org/2004/02/skos/core#historyNote","http://www.w3.org/2004/02/skos/core#definition","A note about the past state/use/meaning of a concept.","en",""
"4","http://www.w3.org/2004/02/skos/core#narrowMatch","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://www.w3.org/2004/02/skos/core#narrower","",""
"5","http://www.w3.org/2004/02/skos/core#relatedMatch","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty","",""
"6","http://www.w3.org/2004/02/skos/core#note","http://www.w3.org/2004/02/skos/core#definition","A general note, for any purpose.","en",""
"7","http://www.w3.org/2004/02/skos/core#exactMatch","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#TransitiveProperty","",""
"8","http://www.w3.org/2004/02/skos/core#changeNote","http://www.w3.org/2000/01/rdf-schema#label","change note","en",""
"9","http://www.w3.org/2004/02/skos/core#narrower","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://www.w3.org/2004/02/skos/core#narrowerTransitive","",""
"10","http://www.w3.org/2004/02/skos/core#mappingRelation","http://www.w3.org/2000/01/rdf-schema#comment","These concept mapping relations mirror semantic relations, and the data model defined below is similar (with the exception of skos:exactMatch) to the data model defined for semantic relations. A distinct vocabulary is provided for concept mapping relations, to provide a convenient way to differentiate links within a concept scheme from links between concept schemes. However, this pattern of usage is not a formal requirement of the SKOS data model, and relies on informal definitions of best practice.","en",""
"11","http://www.w3.org/2004/02/skos/core#hiddenLabel","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"12","http://www.w3.org/2004/02/skos/core#narrowerTransitive","http://www.w3.org/2004/02/skos/core#scopeNote","By convention, skos:narrowerTransitive is not used to make assertions. Rather, the properties can be used to draw inferences about the transitive closure of the hierarchical relation, which is useful e.g. when implementing a simple query expansion algorithm in a search application.","en",""
"13","http://www.w3.org/2004/02/skos/core#narrower","http://www.w3.org/2004/02/skos/core#definition","Relates a concept to a concept that is more specific in meaning.","en",""
"14","http://www.w3.org/2004/02/skos/core#hasTopConcept","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty","",""
"15","http://www.w3.org/2004/02/skos/core#topConceptOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty","",""
"16","http://www.w3.org/2004/02/skos/core#narrowMatch","http://www.w3.org/2000/01/rdf-schema#label","has narrower match","en",""
"17","http://www.w3.org/2004/02/skos/core#broader","http://www.w3.org/2000/01/rdf-schema#comment","Broader concepts are typically rendered as parents in a concept hierarchy (tree).","en",""
"18","http://www.w3.org/2004/02/skos/core","http://purl.org/dc/terms/description","An RDF vocabulary for describing the basic structure and content of concept schemes such as thesauri, classification schemes, subject heading lists, taxonomies, 'folksonomies', other types of controlled vocabulary, and also concept schemes embedded in glossaries and terminologies.","en",""
"19","http://www.w3.org/2004/02/skos/core#inScheme","http://www.w3.org/2000/01/rdf-schema#label","is in scheme","en",""
"20","http://www.w3.org/2004/02/skos/core#memberList","http://www.w3.org/2000/01/rdf-schema#domain","http://www.w3.org/2004/02/skos/core#OrderedCollection","",""
"21","http://www.w3.org/2004/02/skos/core#narrowerTransitive","http://www.w3.org/2004/02/skos/core#definition","skos:narrowerTransitive is a transitive superproperty of skos:narrower.","",""
"22","http://www.w3.org/2004/02/skos/core#exactMatch","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"23","http://www.w3.org/2004/02/skos/core#broader","http://www.w3.org/2004/02/skos/core#definition","Relates a concept to a concept that is more general in meaning.","en",""
"24","http://www.w3.org/2004/02/skos/core#broaderTransitive","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://www.w3.org/2004/02/skos/core#semanticRelation","",""
"25","http://www.w3.org/2004/02/skos/core#Concept","http://www.w3.org/2000/01/rdf-schema#label","Concept","en",""
"26","http://www.w3.org/2004/02/skos/core#hiddenLabel","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://www.w3.org/2004/02/skos/core","",""
"27","http://www.w3.org/2004/02/skos/core#definition","http://www.w3.org/2004/02/skos/core#definition","A statement or formal explanation of the meaning of a concept.","en",""
"28","http://www.w3.org/2004/02/skos/core#broader","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","",""
"29","http://www.w3.org/2004/02/skos/core#exactMatch","http://www.w3.org/2004/02/skos/core#definition","skos:exactMatch is used to link two concepts, indicating a high degree of confidence that the concepts can be used interchangeably across a wide range of information retrieval applications. skos:exactMatch is a transitive property, and is a sub-property of skos:closeMatch.","en",""
