"id","subject","predicate","object","language","datatype"
"0","http://www.w3.org/ns/time/gregorian/April","http://www.w3.org/2004/02/skos/core#prefLabel","April","nl",""
"1","http://www.w3.org/ns/time/gregorian/April","http://www.w3.org/2006/time#unitType","http://www.w3.org/2006/time#unitMonth","",""
"2","http://www.w3.org/ns/time/gregorian/August","http://www.w3.org/2004/02/skos/core#prefLabel","Sierpień","pl",""
"3","http://www.w3.org/ns/time/gregorian/December","http://www.w3.org/2004/02/skos/core#prefLabel","12月","zh",""
"4","http://www.w3.org/ns/time/gregorian/June","http://www.w3.org/2000/01/rdf-schema#label","June","en",""
"5","ub1bL23C19","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Restriction","",""
"6","http://www.w3.org/ns/time/gregorian/September","http://www.w3.org/2000/01/rdf-schema#label","September","en",""
"7","http://www.w3.org/ns/time/gregorian/September","http://www.w3.org/2004/02/skos/core#prefLabel","9月","ja",""
"8","http://www.w3.org/ns/time/gregorian/April","http://www.w3.org/2000/01/rdf-schema#label","April","en",""
"9","http://www.w3.org/ns/time/gregorian/July","http://www.w3.org/2004/02/skos/core#prefLabel","7","ja",""
"10","http://www.w3.org/ns/time/gregorian/July","http://www.w3.org/2006/time#month","--07","","http://www.w3.org/2001/XMLSchema#gMonth"
"11","http://www.w3.org/ns/time/gregorian/November","http://www.w3.org/2000/01/rdf-schema#label","November","en",""
"12","http://www.w3.org/ns/time/gregorian/November","http://www.w3.org/2004/02/skos/core#prefLabel","November","nl",""
"13","http://www.w3.org/ns/time/gregorian/August","http://www.w3.org/2004/02/skos/core#prefLabel","August","de",""
"14","http://www.w3.org/ns/time/gregorian/February","http://www.w3.org/2004/02/skos/core#prefLabel","Fevereiro","pt",""
"15","http://www.w3.org/ns/time/gregorian","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology","",""
"16","http://www.w3.org/ns/time/gregorian/September","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2006/time#MonthOfYear","",""
"17","http://www.w3.org/ns/time/gregorian/January","http://www.w3.org/2004/02/skos/core#prefLabel","Januar","de",""
"18","http://www.w3.org/ns/time/gregorian/September","http://www.w3.org/2004/02/skos/core#prefLabel","Settembre","it",""
"19","http://www.w3.org/ns/time/gregorian/May","http://www.w3.org/2004/02/skos/core#prefLabel","5月","ja",""
"20","http://www.w3.org/ns/time/gregorian/October","http://www.w3.org/2004/02/skos/core#prefLabel","Oktober","de",""
"21","http://www.w3.org/ns/time/gregorian/February","http://www.w3.org/2004/02/skos/core#prefLabel","Februar","de",""
"22","http://www.w3.org/ns/time/gregorian/February","http://www.w3.org/2004/02/skos/core#prefLabel","2月","zh",""
