"id","subject","predicate","object","language","datatype"
"0","http://www.w3.org/2006/time#unitSecond","http://www.w3.org/2004/02/skos/core#prefLabel","secondo","it",""
"1","http://www.w3.org/2006/time#intervalContains","http://www.w3.org/2000/01/rdf-schema#comment","If a proper interval T1 is intervalContains another proper interval T2, then the beginning of T1 is before the beginning of T2, and the end of T1 is after the end of T2.","en",""
"2","http://www.w3.org/2006/time#Year","http://www.w3.org/2004/02/skos/core#prefLabel","Rok","pl",""
"3","http://www.w3.org/2006/time#generalDay","http://www.w3.org/2000/01/rdf-schema#comment","Day of month - formulated as a text string with a pattern constraint to reproduce the same lexical form as gDay, except that values up to 99 are permitted, in order to support calendars with more than 31 days in a month. 
Note that the value-space is not defined, so a generic OWL2 processor cannot compute ordering relationships of values of this type.","en",""
"4","http://www.w3.org/2006/time#intervalAfter","http://www.w3.org/2000/01/rdf-schema#label","intervalo posterior","es",""
"5","http://www.w3.org/2006/time#inXSDDate","http://www.w3.org/2000/01/rdf-schema#comment","Position of an instant, expressed using xsd:date","en",""
"6","http://www.w3.org/2006/time#unitHour","http://www.w3.org/2004/02/skos/core#prefLabel","один час""@ru","",""
"7","ub1bL267C19","http://www.w3.org/2002/07/owl#onProperty","http://www.w3.org/2006/time#months","",""
"8","http://www.w3.org/2006/time#monthOfYear","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2006/time#MonthOfYear","",""
"9","ub1bL125C19","http://www.w3.org/2002/07/owl#onProperty","http://www.w3.org/2006/time#minutes","",""
"10","http://www.w3.org/2006/time#intervalContains","http://www.w3.org/2000/01/rdf-schema#label","interval contains","en",""
"11","http://www.w3.org/2006/time#Tuesday","http://www.w3.org/2004/02/skos/core#prefLabel","Tuesday","en",""
"12","ub1bL508C19","http://www.w3.org/2002/07/owl#unionOf","f0fe6d835392144b5b196798cd61bd66db3","",""
"13","ub1bL378C19","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Restriction","",""
"14","http://www.w3.org/2006/time#Tuesday","http://www.w3.org/2004/02/skos/core#prefLabel","星期二","zh",""
"15","http://www.w3.org/2006/time","http://purl.org/dc/terms/contributor","https://orcid.org/0000-0001-8269-8171","",""
"16","http://www.w3.org/2006/time#generalYear","http://www.w3.org/2004/02/skos/core#definition","Year number - formulated as a text string with a pattern constraint to reproduce the same lexical form as gYear, but not restricted to values from the Gregorian calendar. 
Note that the value-space is not defined, so a generic OWL2 processor cannot compute ordering relationships of values of this type.","en",""
"17","http://www.w3.org/2006/time#unitSecond","http://www.w3.org/2004/02/skos/core#prefLabel","seconde","nl",""
"18","http://www.w3.org/2006/time#inXSDDate","http://www.w3.org/2000/01/rdf-schema#label","in XSD date","en",""
"19","http://www.w3.org/2006/time#unitMonth","http://www.w3.org/2006/time#hours","0","","http://www.w3.org/2001/XMLSchema#decimal"
"20","http://www.w3.org/2006/time#intervalIn","http://www.w3.org/2004/02/skos/core#note","Esta relación entre intervalos no estaba incluida en las 13 relaciones básicas definidas por Allen (1984), pero se hace referencia a ella como ""una relación importante"" en Allen y Ferguson (1997). Es la unión disjunta de 'intervalo empieza', 'intervalo durante' y con 'intervalo termina'. Sin embargo, esto está fuera de la expresividad de OWL2, por tanto, se implementa como una propiedad explícita, con 'intervalo empieza', 'intervalo durante' e 'intervalo termina' como sub-propiedades.","es",""
"21","http://www.w3.org/2006/time#inTimePosition","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2006/time#TimePosition","",""
"22","ub1bL102C19","http://www.w3.org/2002/07/owl#cardinality","1","","http://www.w3.org/2001/XMLSchema#nonNegativeInteger"
"23","http://www.w3.org/2006/time#dayOfWeek","http://www.w3.org/2004/02/skos/core#definition","El día de la semana, cuyo valor es un miembro de la clase 'día de la semana'.","es",""
"24","http://www.w3.org/2006/time#hasDurationDescription","http://www.w3.org/2000/01/rdf-schema#label","has duration description","en",""
"25","http://www.w3.org/2006/time#hasTRS","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty","",""
"26","http://www.w3.org/2006/time#unitWeek","http://www.w3.org/2006/time#months","0","","http://www.w3.org/2001/XMLSchema#decimal"
"27","http://www.w3.org/2006/time#MonthOfYear","http://www.w3.org/2000/01/rdf-schema#subClassOf","ub1bL378C19","",""
"28","http://www.w3.org/2006/time#GeneralDurationDescription","http://www.w3.org/2000/01/rdf-schema#label","Generalized duration description","en",""
"29","http://www.w3.org/2006/time#hasXSDDuration","http://www.w3.org/2004/02/skos/core#editorialNote","Feature at risk - added in 2017 revision, and not yet widely used. ","en",""
"30","http://www.w3.org/2006/time#intervalAfter","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://www.w3.org/2006/time#intervalDisjoint","",""
"31","http://www.w3.org/2006/time#intervalIn","http://www.w3.org/2004/02/skos/core#definition","If a proper interval T1 is intervalIn another proper interval T2, then the beginning of T1 is after the beginning of T2 or is coincident with the beginning of T2, and the end of T1 is before the end of T2, or is coincident with the end of T2, except that end of T1 may not be coincident with the end of T2 if the beginning of T1 is coincident with the beginning of T2.","en",""
"32","http://www.w3.org/2006/time#Monday","http://www.w3.org/2004/02/skos/core#prefLabel","Segunda-feira","pt",""
"33","http://www.w3.org/2006/time#hasXSDDuration","http://www.w3.org/2004/02/skos/core#definition","Extensión de una entidad temporal, expresada utilizando xsd:duration.","es",""
