"id","subject","predicate","object","language","datatype"
"0","http://purl.org/vocab/vann/example","http://www.w3.org/2000/01/rdf-schema#comment","A reference to a resource that provides an example of how this resource can be used.","en",""
"1","http://vocab.org/vann/.turtle","http://xmlns.com/foaf/0.1/topic","http://purl.org/vocab/vann/","",""
"2","http://purl.org/vocab/vann/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology","",""
"3","http://purl.org/vocab/vann/","http://purl.org/dc/terms/identifier","http://purl.org/vocab/vann/vann-vocab-20050401","",""
"4","http://purl.org/vocab/vann/","http://purl.org/vocab/vann/preferredNamespaceUri","http://purl.org/vocab/vann/","",""
"5","http://vocab.org/vann/.json","http://www.w3.org/2000/01/rdf-schema#label","JSON","",""
"6","http://vocab.org/vann/.rdf","http://www.w3.org/2000/01/rdf-schema#label","RDF/XML","",""
"7","http://purl.org/vocab/vann/usageNote","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://www.w3.org/2000/01/rdf-schema#seeAlso","",""
"8","http://purl.org/vocab/vann/example","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#AnnotationProperty","",""
"9","http://vocab.org/vann/.turtle","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://purl.org/dc/dcmitype/Text","",""
"10","http://creativecommons.org/licenses/by/1.0/","http://web.resource.org/cc/requires","http://web.resource.org/cc/Attribution","",""
"11","http://creativecommons.org/licenses/by/1.0/","http://web.resource.org/cc/permits","http://web.resource.org/cc/DerivativeWorks","",""
"12","http://creativecommons.org/licenses/by/1.0/","http://web.resource.org/cc/requires","http://web.resource.org/cc/Notice","",""
"13","http://purl.org/vocab/vann/termGroup","http://www.w3.org/2000/01/rdf-schema#comment","A group of related terms in a vocabulary.","en",""
"14","http://purl.org/vocab/vann/termGroup","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/vocab/vann/","",""
"15","http://purl.org/vocab/vann/changes","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/vocab/vann/","",""
"16","http://purl.org/vocab/vann/preferredNamespacePrefix","http://www.w3.org/2000/01/rdf-schema#comment","The preferred namespace prefix to use when using terms from this vocabulary in an XML document.","en",""
"17","http://vocab.org/vann/.rdf","http://purl.org/dc/elements/1.1/format","application/rdf+xml","",""
"18","http://purl.org/vocab/vann/changes","http://www.w3.org/2000/01/rdf-schema#comment","A reference to a resource that describes changes between this version of a vocabulary and the previous.","en",""
"19","http://purl.org/vocab/vann/","http://purl.org/dc/terms/isVersionOf","http://purl.org/vocab/vann/","",""
