"id","subject","predicate","object","language","datatype"
"0","http://xmlns.com/wot/0.1/length","http://www.w3.org/2000/01/rdf-schema#domain","http://xmlns.com/wot/0.1/PubKey","",""
"1","http://xmlns.com/wot/0.1/SigEvent","http://www.w3.org/2000/01/rdf-schema#label","Key Signing Event","",""
"2","http://xmlns.com/wot/0.1/identity","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty","",""
"3","http://xmlns.com/wot/0.1/signer","http://www.w3.org/2000/01/rdf-schema#domain","http://xmlns.com/wot/0.1/SigEvent","",""
"4","http://xmlns.com/wot/0.1/hasKey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty","",""
"5","http://xmlns.com/wot/0.1/EncryptedDocument","http://www.w3.org/2002/07/owl#disjointWith","http://xmlns.com/wot/0.1/SigEvent","",""
"6","http://xmlns.com/wot/0.1/length","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty","",""
"7","http://xmlns.com/wot/0.1/User","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://xmlns.com/wot/0.1/","",""
"8","http://xmlns.com/wot/0.1/PubKey","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://xmlns.com/wordnet/1.6/Credential","",""
"9","http://xmlns.com/wot/0.1/","http://www.w3.org/2002/07/owl#imports","http://www.w3.org/2000/01/rdf-schema","",""
"10","http://xmlns.com/wot/0.1/User","http://www.w3.org/2000/01/rdf-schema#comment","A user (agent, person, group or organization) of a PGP/GPG public key.","",""
"11","http://xmlns.com/wot/0.1/encryptedTo","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty","",""
"12","http://xmlns.com/wot/0.1/fingerprint","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status","testing","",""
"13","http://xmlns.com/wot/0.1/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology","",""
"14","http://xmlns.com/wot/0.1/sigtime","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://xmlns.com/wot/0.1/","",""
"15","http://xmlns.com/wot/0.1/","http://purl.org/dc/elements/1.1/description","Web Of Trust (wot) RDF vocabulary, described using W3C RDF Schema and the Web Ontology Language.","",""
"16","http://xmlns.com/wot/0.1/hasKey","http://www.w3.org/2000/01/rdf-schema#range","http://xmlns.com/wot/0.1/PubKey","",""
"17","http://xmlns.com/wot/0.1/SigEvent","http://www.w3.org/2002/07/owl#disjointWith","http://xmlns.com/wot/0.1/Endorsement","",""
"18","http://xmlns.com/wot/0.1/signed","http://www.w3.org/2000/01/rdf-schema#range","http://xmlns.com/wot/0.1/SigEvent","",""
"19","http://xmlns.com/wot/0.1/fingerprint","http://www.w3.org/2000/01/rdf-schema#domain","http://xmlns.com/wot/0.1/PubKey","",""
"20","http://xmlns.com/wot/0.1/signed","http://www.w3.org/2000/01/rdf-schema#domain","http://xmlns.com/wot/0.1/PubKey","",""
"21","http://xmlns.com/wot/0.1/encryptedTo","http://www.w3.org/2000/01/rdf-schema#range","http://xmlns.com/wot/0.1/PubKey","",""
"22","http://xmlns.com/wot/0.1/User","http://www.w3.org/2000/01/rdf-schema#label","Key User","",""
"23","http://xmlns.com/wot/0.1/","http://www.w3.org/2002/07/owl#imports","http://www.w3.org/2002/07/owl","",""
"24","http://xmlns.com/wot/0.1/signer","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status","unstable","",""
"25","http://xmlns.com/wot/0.1/PubKey","http://www.w3.org/2002/07/owl#disjointWith","http://xmlns.com/wot/0.1/User","",""
"26","http://xmlns.com/wot/0.1/User","http://www.w3.org/2002/07/owl#disjointWith","http://xmlns.com/wot/0.1/PubKey","",""
"27","http://xmlns.com/wot/0.1/assurance","http://www.w3.org/2000/01/rdf-schema#label","Assurance","",""
"28","http://xmlns.com/wot/0.1/identity","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status","testing","",""
"29","http://xmlns.com/wot/0.1/EncryptedDocument","http://www.w3.org/2002/07/owl#disjointWith","http://xmlns.com/wot/0.1/PubKey","",""
"30","http://xmlns.com/wot/0.1/hasKey","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status","testing","",""
"31","http://xmlns.com/wot/0.1/encrypter","http://www.w3.org/2000/01/rdf-schema#domain","http://xmlns.com/wot/0.1/EncryptedDocument","",""
"32","http://xmlns.com/wot/0.1/","http://purl.org/dc/elements/1.1/title","Web Of Trust vocabulary","",""
"33","http://xmlns.com/wot/0.1/fingerprint","http://www.w3.org/2000/01/rdf-schema#label","Fingerprint","",""
"34","http://xmlns.com/wot/0.1/Endorsement","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class","",""
"35","http://xmlns.com/wot/0.1/PubKey","http://www.w3.org/2000/01/rdf-schema#comment","A class used to represent a PGP/GPG public key for a user (an agent, person, group or organization).","",""
"36","http://xmlns.com/wot/0.1/assurance","http://www.w3.org/2000/01/rdf-schema#domain","http://xmlns.com/foaf/0.1/Document","",""
"37","http://xmlns.com/wot/0.1/signer","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#FunctionalProperty","",""
"38","http://xmlns.com/wot/0.1/signer","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://xmlns.com/wot/0.1/","",""
"39","http://xmlns.com/wot/0.1/hex_id","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#string","",""
"40","http://xmlns.com/wot/0.1/signed","http://www.w3.org/2000/01/rdf-schema#label","Signed","",""
"41","http://xmlns.com/wot/0.1/sigtime","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status","unstable","",""
"42","http://xmlns.com/wot/0.1/EncryptedDocument","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class","",""
"43","http://xmlns.com/wot/0.1/pubkeyAddress","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status","testing","",""
"44","http://xmlns.com/wot/0.1/hasKey","http://www.w3.org/2000/01/rdf-schema#comment","A property to link a PubKey from a User","",""
"45","http://xmlns.com/wot/0.1/signer","http://www.w3.org/2000/01/rdf-schema#comment","A property linking a public key signature event to the public key that was used to sign.","",""
"46","http://xmlns.com/wot/0.1/EncryptedDocument","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://xmlns.com/wot/0.1/","",""
"47","http://xmlns.com/wot/0.1/SigEvent","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status","testing","",""
"48","http://xmlns.com/wot/0.1/Endorsement","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://xmlns.com/foaf/0.1/Document","",""
"49","http://xmlns.com/wot/0.1/pubkeyAddress","http://www.w3.org/2000/01/rdf-schema#label","Address","",""
"50","http://xmlns.com/wot/0.1/identity","http://www.w3.org/2000/01/rdf-schema#range","http://xmlns.com/wot/0.1/User","",""
